case_index,index,dataset,vsId,tgId,tcId,op,return_code,raw_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp,config,operation,dataset_name,revision,expected_implicit_rejection,algorithm_ms_at_100mhz,observed_algorithm_stack_bytes
90,90,3,42,2,35,2,0,9043618,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,90.43618,17296
91,91,3,42,2,36,2,0,9044735,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,90.44735,17296
92,92,3,42,2,37,2,0,9046271,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,90.46271,17296
93,93,3,42,2,38,2,0,9045971,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,90.45971,17296
94,94,3,42,2,39,2,0,9046192,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,90.46192,17296
95,95,3,42,2,40,2,0,9046805,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,90.46805,17296
96,96,3,42,2,41,2,0,9047065,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,90.47065,17296
97,97,3,42,2,42,2,0,9044153,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,90.44153,17296
98,98,3,42,2,43,2,0,9045330,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,90.4533,17296
99,99,3,42,2,44,2,0,9671139,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,96.71139,17296
100,100,3,42,2,45,2,0,9045930,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,90.4593,17296
101,101,3,42,2,46,2,0,9043829,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,90.43829,17296
102,102,3,42,2,47,2,0,9047451,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,90.47451,17296
103,103,3,42,2,48,2,0,9043096,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,90.43096,17296
104,104,3,42,2,49,2,0,9048557,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,90.48557,17296
105,105,3,42,2,50,2,0,9045148,4,1216,1120,43776,43008,0,0,768,0,0,0,0,113760,rv32im_fast,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,90.45148,17296
106,106,3,42,6,97,4,0,20570785,4,1152,32,89344,88576,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulationSeed,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,True,205.70785,18432
107,107,3,42,6,98,4,0,19314091,4,1152,32,89344,88576,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulationSeed,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,True,193.14091,18432
108,108,3,42,6,99,4,0,19316007,4,1152,32,89344,88576,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulationSeed,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,False,193.16007,18432
109,109,3,42,6,100,4,0,19630859,4,1152,32,89344,88576,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulationSeed,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,False,196.30859,18432
110,110,3,42,6,101,4,0,19315965,4,1152,32,89344,88576,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulationSeed,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,True,193.15965,18432
111,111,3,42,6,102,4,0,19312135,4,1152,32,89344,88576,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulationSeed,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,True,193.12135,18432
112,112,3,42,6,103,4,0,19316585,4,1152,32,89344,88576,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulationSeed,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,False,193.16585,18432
113,113,3,42,6,104,4,0,19317547,4,1152,32,89344,88576,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulationSeed,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,False,193.17547,18432
114,114,3,42,6,105,4,0,19316861,4,1152,32,89344,88576,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulationSeed,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,True,193.16861,18432
115,115,3,42,7,106,3,0,11017957,4,3488,32,60544,59776,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,True,110.17957,18432
116,116,3,42,7,107,3,0,11021781,4,3488,32,60544,59776,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,True,110.21781,18432
117,117,3,42,7,108,3,0,11018344,4,3488,32,60544,59776,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,True,110.18344,18432
118,118,3,42,7,109,3,0,11019519,4,3488,32,60544,59776,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,False,110.19519,18432
119,119,3,42,7,110,3,0,11016654,4,3488,32,60544,59776,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,True,110.16654,18432
120,120,3,42,7,111,3,0,11017954,4,3488,32,60544,59776,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,False,110.17954,18432
121,121,3,42,7,112,3,0,11018235,4,3488,32,60544,59776,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,True,110.18235,18432
122,122,3,42,7,113,3,0,11018828,4,3488,32,60544,59776,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,False,110.18828,18432
123,123,3,42,7,114,3,0,11017496,4,3488,32,60544,59776,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,False,110.17496,18432
124,124,3,42,7,115,3,0,11644158,4,3488,32,60544,59776,0,0,768,0,0,0,0,112624,rv32im_fast,decapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,False,116.44158,18432
125,125,3,42,12,156,6,-5,1410393,4,2400,0,0,0,0,0,0,0,0,0,0,130160,rv32im_fast,decapsulationKeyCheck,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,14.10393,896
126,126,3,42,12,157,6,0,1410382,4,2400,0,0,0,0,0,0,0,0,0,0,130160,rv32im_fast,decapsulationKeyCheck,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,14.10382,896
127,127,3,42,12,158,6,0,1410382,4,2400,0,0,0,0,0,0,0,0,0,0,130160,rv32im_fast,decapsulationKeyCheck,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,14.10382,896
128,128,3,42,12,159,6,-5,1410393,4,2400,0,0,0,0,0,0,0,0,0,0,130160,rv32im_fast,decapsulationKeyCheck,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,14.10393,896
129,129,3,42,12,160,6,0,1410382,4,2400,0,0,0,0,0,0,0,0,0,0,130160,rv32im_fast,decapsulationKeyCheck,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,14.10382,896
130,130,3,42,12,161,6,0,1410382,4,2400,0,0,0,0,0,0,0,0,0,0,130160,rv32im_fast,decapsulationKeyCheck,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,14.10382,896
131,131,3,42,12,162,6,-5,1410393,4,2400,0,0,0,0,0,0,0,0,0,0,130160,rv32im_fast,decapsulationKeyCheck,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,14.10393,896
