config,index,dataset,vsId,tgId,tcId,op,return_code,raw_cycles,empty_cycles,input_bytes,output_bytes,m_total,mul,mulh,mulhsu,mulhu,div,divu,rem,remu,min_sp,original_case_index,operation,dataset_name,revision,expected_implicit_rejection,algorithm_ms_at_100mhz,observed_algorithm_stack_bytes,source_kind,source_chunk,source_local_index
rv32i,91,3,42,1,11,2,0,11762548,4,832,800,0,0,0,0,0,0,0,0,0,53408,91,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,117.62548,12112,resumed_batch,batch_089_096,2
rv32i,92,3,42,1,12,2,0,11765918,4,832,800,0,0,0,0,0,0,0,0,0,53408,92,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,117.65918,12112,resumed_batch,batch_089_096,3
rv32i,93,3,42,1,13,2,0,11742486,4,832,800,0,0,0,0,0,0,0,0,0,53408,93,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,117.42486,12112,resumed_batch,batch_089_096,4
rv32i,94,3,42,1,14,2,0,11752255,4,832,800,0,0,0,0,0,0,0,0,0,53408,94,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,117.52255,12112,resumed_batch,batch_089_096,5
rv32i,95,3,42,1,15,2,0,11785225,4,832,800,0,0,0,0,0,0,0,0,0,53408,95,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,117.85225,12112,resumed_batch,batch_089_096,6
rv32i,96,3,42,1,16,2,0,11706746,4,832,800,0,0,0,0,0,0,0,0,0,53408,96,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,117.06746,12112,resumed_batch,batch_089_096,7
rv32i,97,3,42,1,17,2,0,11748649,4,832,800,0,0,0,0,0,0,0,0,0,53408,97,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,117.48649,12112,resumed_batch,batch_097_104,0
rv32i,98,3,42,1,18,2,0,11749620,4,832,800,0,0,0,0,0,0,0,0,0,53408,98,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,117.4962,12112,resumed_batch,batch_097_104,1
rv32i,99,3,42,1,19,2,0,11752324,4,832,800,0,0,0,0,0,0,0,0,0,53408,99,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,117.52324,12112,resumed_batch,batch_097_104,2
rv32i,100,3,42,1,20,2,0,11763845,4,832,800,0,0,0,0,0,0,0,0,0,53408,100,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,117.63845,12112,resumed_batch,batch_097_104,3
rv32i,101,3,42,1,21,2,0,11768504,4,832,800,0,0,0,0,0,0,0,0,0,53408,101,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,117.68504,12112,resumed_batch,batch_097_104,4
rv32i,102,3,42,1,22,2,0,11767463,4,832,800,0,0,0,0,0,0,0,0,0,53408,102,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,117.67463,12112,resumed_batch,batch_097_104,5
rv32i,103,3,42,1,23,2,0,11738774,4,832,800,0,0,0,0,0,0,0,0,0,53408,103,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,117.38774,12112,resumed_batch,batch_097_104,6
rv32i,104,3,42,1,24,2,0,11769129,4,832,800,0,0,0,0,0,0,0,0,0,53408,104,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,117.69129,12112,resumed_batch,batch_097_104,7
rv32i,105,3,42,1,25,2,0,11746705,4,832,800,0,0,0,0,0,0,0,0,0,53408,105,encapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,,117.46705,12112,resumed_batch,batch_105_112,0
rv32i,106,3,42,4,77,4,0,24703417,4,832,32,0,0,0,0,0,0,0,0,0,52592,106,decapsulationSeed,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,True,247.03417,12928,resumed_batch,batch_105_112,1
rv32i,107,3,42,4,78,4,0,24771105,4,832,32,0,0,0,0,0,0,0,0,0,52592,107,decapsulationSeed,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,True,247.71105,12928,resumed_batch,batch_105_112,2
rv32i,108,3,42,4,79,4,0,24761395,4,832,32,0,0,0,0,0,0,0,0,0,52592,108,decapsulationSeed,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,True,247.61395,12928,resumed_batch,batch_105_112,3
rv32i,109,3,42,4,80,4,0,24773221,4,832,32,0,0,0,0,0,0,0,0,0,52592,109,decapsulationSeed,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,False,247.73221,12928,resumed_batch,batch_105_112,4
rv32i,110,3,42,4,81,4,0,24720575,4,832,32,0,0,0,0,0,0,0,0,0,52592,110,decapsulationSeed,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,True,247.20575,12928,resumed_batch,batch_105_112,5
rv32i,111,3,42,4,82,4,0,24698703,4,832,32,0,0,0,0,0,0,0,0,0,52592,111,decapsulationSeed,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,False,246.98703,12928,resumed_batch,batch_105_112,6
rv32i,112,3,42,4,83,4,0,24762106,4,832,32,0,0,0,0,0,0,0,0,0,52592,112,decapsulationSeed,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,True,247.62106,12928,resumed_batch,batch_105_112,7
rv32i,113,3,42,4,84,4,0,24716891,4,832,32,0,0,0,0,0,0,0,0,0,52592,113,decapsulationSeed,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,False,247.16891,12928,resumed_batch,batch_113_120,0
rv32i,114,3,42,4,85,4,0,24693338,4,832,32,0,0,0,0,0,0,0,0,0,52592,114,decapsulationSeed,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,False,246.93338,12928,resumed_batch,batch_113_120,1
rv32i,115,3,42,5,86,3,0,15722125,4,2400,32,0,0,0,0,0,0,0,0,0,52592,115,decapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,True,157.22125,12928,resumed_batch,batch_113_120,2
rv32i,116,3,42,5,87,3,0,15734978,4,2400,32,0,0,0,0,0,0,0,0,0,52592,116,decapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,True,157.34978,12928,resumed_batch,batch_113_120,3
rv32i,117,3,42,5,88,3,0,15717604,4,2400,32,0,0,0,0,0,0,0,0,0,52592,117,decapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,False,157.17604,12928,resumed_batch,batch_113_120,4
rv32i,118,3,42,5,89,3,0,15749217,4,2400,32,0,0,0,0,0,0,0,0,0,52592,118,decapsulation,fips203-tr1/ML-KEM-encapDecap,FIPS203-tr1,True,157.49217,12928,resumed_batch,batch_113_120,5
